@relation crop_recommendation

@attribute N numeric
@attribute P numeric
@attribute K numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {rice,maize,chickpea,kidneybeans,pigeonpeas,mothbeans,mungbean,blackgram,lentil,pomegranate,banana,mango,grapes,watermelon,muskmelon,apple,orange,papaya,coconut,cotton,jute,coffee}

@data
% ─── mungbean ───────────────────────────────────────────────────────────
22,48,20,28.0,85.0,6.2,64.0,mungbean
20,52,22,26.5,82.5,5.8,72.0,mungbean
24,55,19,30.0,88.0,6.5,80.0,mungbean
21,45,24,27.0,84.0,7.0,90.0,mungbean
23,50,21,31.5,90.0,6.0,58.0,mungbean
20,47,23,29.0,86.5,5.9,68.0,mungbean
22,53,18,26.0,83.0,6.8,88.0,mungbean
24,49,25,30.5,89.0,6.3,55.0,mungbean
21,51,20,28.5,85.5,6.1,75.0,mungbean
23,46,22,32.0,87.5,6.0,92.0,mungbean
% ─── blackgram ──────────────────────────────────────────────────────────
40,65,21,30.0,63.0,6.5,72.0,blackgram
38,62,20,28.5,61.0,6.2,80.0,blackgram
43,68,22,33.0,67.0,6.0,65.0,blackgram
35,60,19,29.5,60.0,7.0,88.0,blackgram
45,70,24,34.0,68.0,6.5,70.0,blackgram
42,64,18,31.5,64.0,6.3,75.0,blackgram
37,67,23,28.0,62.5,5.8,82.0,blackgram
41,63,21,30.5,65.0,6.7,68.0,blackgram
39,69,20,32.5,60.5,6.1,90.0,blackgram
44,61,22,29.0,66.5,6.4,73.0,blackgram
% ─── lentil ─────────────────────────────────────────────────────────────
20,68,21,20.0,64.0,6.5,42.0,lentil
22,72,19,18.5,62.5,5.8,50.0,lentil
18,75,23,21.0,66.0,6.2,38.0,lentil
24,65,18,19.5,67.5,7.0,55.0,lentil
21,80,25,22.0,63.0,5.5,48.0,lentil
19,70,20,20.8,65.0,6.0,44.0,lentil
23,78,22,18.0,68.0,6.8,52.0,lentil
20,67,24,21.5,62.0,5.9,40.0,lentil
22,74,18,19.0,64.5,6.4,58.0,lentil
18,71,21,20.5,66.5,6.1,46.0,lentil
% ─── pomegranate ────────────────────────────────────────────────────────
21,48,45,24.0,88.0,6.5,120.0,pomegranate
19,52,50,22.5,86.5,5.8,145.0,pomegranate
23,55,48,27.0,91.0,7.0,160.0,pomegranate
20,45,53,21.0,90.0,7.5,108.0,pomegranate
22,50,44,26.0,92.5,6.0,172.0,pomegranate
18,47,55,23.5,88.5,6.3,130.0,pomegranate
24,53,47,25.0,94.0,5.8,115.0,pomegranate
21,49,52,20.5,87.0,7.2,155.0,pomegranate
23,51,46,27.5,90.5,6.6,140.0,pomegranate
20,55,50,22.0,86.0,6.0,165.0,pomegranate
% ─── banana ─────────────────────────────────────────────────────────────
100,76,50,28.0,82.0,6.0,102.0,banana
95,80,52,27.5,84.5,5.8,107.0,banana
105,72,54,29.0,80.5,6.5,100.0,banana
98,78,49,26.5,86.0,6.2,109.0,banana
92,74,55,30.0,88.0,5.9,98.0,banana
103,80,51,28.5,81.5,6.8,105.0,banana
97,73,48,27.0,85.0,6.0,108.0,banana
101,77,53,29.5,82.5,6.3,101.0,banana
93,79,50,26.0,83.0,5.7,110.0,banana
104,75,52,28.0,87.0,6.1,99.0,banana
% ─── mango ──────────────────────────────────────────────────────────────
21,20,32,30.0,50.0,5.5,98.0,mango
19,22,30,28.5,48.5,4.8,105.0,mango
23,18,35,33.0,53.0,6.0,92.0,mango
20,24,28,29.5,51.5,5.0,110.0,mango
22,19,34,26.5,49.0,7.0,100.0,mango
18,23,31,32.0,52.5,4.5,115.0,mango
24,21,29,27.5,48.0,6.5,96.0,mango
21,20,36,30.5,54.0,5.8,108.0,mango
20,22,33,28.0,50.5,6.2,94.0,mango
23,18,30,34.0,53.5,5.5,112.0,mango
% ─── grapes ─────────────────────────────────────────────────────────────
21,125,200,12.0,83.0,6.5,72.0,grapes
19,130,203,8.5,80.5,5.8,80.0,grapes
23,122,198,16.0,87.0,6.2,68.0,grapes
20,135,205,10.5,84.5,7.0,76.0,grapes
22,128,201,14.0,81.0,5.5,84.0,grapes
18,124,204,9.0,89.0,6.8,70.0,grapes
24,132,199,17.5,85.5,6.0,66.0,grapes
21,127,202,11.0,82.0,6.3,78.0,grapes
20,133,206,15.5,88.0,5.9,73.0,grapes
22,121,200,13.0,80.0,6.5,82.0,grapes
% ─── watermelon ─────────────────────────────────────────────────────────
100,14,50,28.0,85.0,6.5,58.0,watermelon
105,10,52,30.5,82.5,6.0,64.0,watermelon
96,17,55,25.5,88.0,7.0,52.0,watermelon
110,12,49,33.0,84.0,6.3,66.0,watermelon
98,16,53,26.5,90.0,5.9,55.0,watermelon
103,11,51,31.0,82.0,6.8,68.0,watermelon
108,18,48,29.0,86.5,6.1,60.0,watermelon
97,13,54,27.0,83.5,6.5,62.0,watermelon
104,15,52,32.5,89.0,6.2,54.0,watermelon
101,10,50,25.0,85.5,7.0,58.0,watermelon
% ─── muskmelon ──────────────────────────────────────────────────────────
100,14,50,32.0,92.0,7.0,28.0,muskmelon
105,10,52,35.5,90.5,6.5,24.0,muskmelon
96,17,55,28.5,94.0,7.5,32.0,muskmelon
110,12,49,37.0,91.0,6.2,22.0,muskmelon
98,16,53,30.0,96.0,6.8,34.0,muskmelon
103,11,51,33.5,90.0,7.2,26.0,muskmelon
108,18,48,38.0,93.5,6.4,30.0,muskmelon
97,13,54,29.0,91.5,7.0,23.0,muskmelon
104,15,52,36.0,95.0,6.5,33.0,muskmelon
101,10,50,31.5,92.5,7.3,28.0,muskmelon
% ─── apple ──────────────────────────────────────────────────────────────
3,125,200,22.5,92.0,6.5,110.0,apple
1,130,198,24.0,90.5,5.8,118.0,apple
4,122,204,23.5,94.0,7.0,102.0,apple
0,135,196,22.0,91.5,7.5,122.0,apple
5,128,201,25.0,96.0,5.8,108.0,apple
2,124,203,23.0,92.5,6.2,115.0,apple
3,132,199,24.5,90.0,7.2,104.0,apple
1,127,202,22.8,93.0,6.0,120.0,apple
4,133,198,23.2,91.0,6.8,112.0,apple
0,121,200,24.5,95.0,5.9,106.0,apple
% ─── orange ─────────────────────────────────────────────────────────────
21,20,12,16.0,92.0,6.5,120.0,orange
19,22,15,10.5,90.5,6.0,128.0,orange
23,18,10,21.0,94.0,7.0,115.0,orange
20,24,18,12.5,91.5,7.5,132.0,orange
22,19,8,18.0,96.0,6.2,118.0,orange
18,23,14,13.5,92.5,6.8,125.0,orange
24,21,11,20.5,90.0,7.3,116.0,orange
21,20,16,11.0,93.0,6.0,130.0,orange
20,22,13,17.5,91.0,6.5,122.0,orange
23,18,9,22.0,95.0,7.0,117.0,orange
% ─── papaya ─────────────────────────────────────────────────────────────
50,63,52,35.0,92.0,6.8,142.0,papaya
52,60,55,38.5,90.5,7.0,148.0,papaya
48,67,50,33.0,94.0,6.2,138.0,papaya
55,68,57,41.0,91.5,7.5,154.0,papaya
53,62,51,36.5,96.0,6.4,145.0,papaya
49,65,54,32.5,92.5,7.2,140.0,papaya
51,61,53,40.0,90.0,6.0,152.0,papaya
54,66,56,37.0,93.0,6.8,144.0,papaya
48,64,50,34.0,91.0,7.0,138.0,papaya
52,68,52,42.0,95.0,6.5,150.0,papaya
% ─── coconut ────────────────────────────────────────────────────────────
24,20,32,28.5,92.0,6.0,145.0,coconut
22,22,35,30.0,90.5,5.5,160.0,coconut
26,18,30,27.0,94.0,7.5,132.0,coconut
20,24,38,31.5,91.5,5.2,175.0,coconut
28,19,28,29.0,96.0,7.8,140.0,coconut
21,23,33,28.0,92.5,6.3,165.0,coconut
25,20,36,31.0,90.0,5.8,155.0,coconut
23,21,31,27.5,93.0,7.0,132.0,coconut
27,18,34,30.5,91.0,6.5,178.0,coconut
22,24,29,32.0,95.0,5.5,148.0,coconut
% ─── cotton ─────────────────────────────────────────────────────────────
115,32,42,26.0,62.0,6.5,95.0,cotton
108,35,45,28.5,58.0,5.8,108.0,cotton
121,28,40,23.0,70.0,7.5,80.0,cotton
124,38,48,31.0,56.5,8.0,115.0,cotton
110,30,38,24.5,72.0,6.0,88.0,cotton
118,36,44,29.5,64.0,6.8,102.0,cotton
112,33,43,25.5,68.5,5.8,92.0,cotton
120,29,41,32.0,58.5,7.2,118.0,cotton
116,37,46,27.0,60.0,6.3,85.0,cotton
122,31,39,30.5,74.0,5.9,110.0,cotton
% ─── jute ───────────────────────────────────────────────────────────────
82,42,42,28.0,80.0,7.0,185.0,jute
88,45,44,30.5,78.5,6.0,200.0,jute
78,40,40,24.5,86.0,8.0,172.0,jute
90,48,48,33.0,81.5,6.5,215.0,jute
85,43,43,26.0,84.0,7.5,192.0,jute
79,46,41,31.5,78.0,6.2,178.0,jute
87,41,46,28.5,88.0,7.0,208.0,jute
83,47,45,25.5,82.5,6.8,188.0,jute
89,44,39,32.5,80.0,7.3,210.0,jute
84,42,47,27.0,85.5,6.0,175.0,jute
% ─── coffee ─────────────────────────────────────────────────────────────
105,30,32,26.0,62.0,6.5,178.0,coffee
110,28,35,24.0,65.5,6.0,190.0,coffee
100,35,30,28.5,58.5,7.0,162.0,coffee
115,32,38,22.5,70.0,6.2,198.0,coffee
108,36,28,29.0,60.0,6.8,170.0,coffee
103,29,33,23.5,67.0,5.8,185.0,coffee
112,34,36,27.0,63.5,6.5,165.0,coffee
107,31,30,25.5,58.0,7.0,200.0,coffee
101,33,37,28.0,69.0,6.0,175.0,coffee
114,28,34,22.0,64.0,6.5,192.0,coffee
